id,ege,year,calculus,algebra,discrete,ode,complex,mechanics,prob_and_stat,pde,functional,optimization,random_proc,numerical
1,229,13,5,5,5,5,5,5,5,5,5,5,5,5
2,235,13,5,5,5,5,5,5,5,5,5,5,5,5
3,220,13,5,5,5,5,5,5,5,5,5,5,5,5
4,227,13,5,5,5,5,5,5,5,5,5,5,5,5
5,204,13,4,3,5,4,4,4,5,4,4,4,4,3
6,205,13,5,3,4,4,4,5,4,4,4,5,5,4
7,199,13,5,4,5,5,4,3,4,4,4,5,4,3
8,201,13,5,3,5,5,4,5,4,3,4,4,3,4
9,208,13,4,4,4,5,5,4,5,3,4,4,3,4
10,209,13,5,3,4,4,4,4,5,3,4,5,3,3
11,202,13,3,4,4,3,3,4,5,3,4,5,4,3
12,203,13,3,3,5,3,4,3,5,4,3,4,5,3
13,191,13,3,3,4,3,3,3,4,3,3,4,4,3
14,194,13,3,3,4,3,3,4,4,3,3,5,3,3
15,197,13,3,3,3,3,3,3,4,3,3,4,3,3
16,196,13,3,3,3,3,3,3,4,3,3,4,3,3
17,199,13,3,3,3,3,3,3,4,3,3,4,4,3
18,200,13,3,3,3,3,3,3,4,3,3,4,4,3
19,193,13,3,3,3,3,3,3,4,3,3,3,3,3
20,194,13,3,3,3,3,3,3,4,3,3,4,3,3
21,223,14,5,5,5,5,5,5,5,5,5,5,5,5
22,222,14,5,5,5,5,5,5,5,5,5,5,5,5
23,213,14,5,3,4,4,5,5,4,5,4,5,4,4
24,202,14,4,3,5,5,4,4,4,5,4,5,5,4
25,201,14,5,3,4,5,4,3,4,3,4,4,4,4
26,209,14,5,3,5,5,4,3,5,4,3,5,4,3
27,203,14,3,4,4,5,3,4,4,4,3,5,4,3
28,208,14,4,3,4,5,4,3,5,3,3,4,4,3
29,204,14,4,4,4,3,4,4,5,3,4,4,5,3
30,207,14,4,4,4,4,4,4,4,4,4,5,5,3
31,191,14,3,3,3,3,3,3,4,3,3,4,4,3
32,194,14,3,3,3,3,3,3,4,3,3,5,3,3
33,196,14,3,3,3,3,3,3,4,3,3,3,4,3
34,198,14,3,3,3,3,3,3,3,3,3,3,3,3
35,200,14,3,3,3,3,3,3,3,3,3,4,3,3
36,191,14,3,3,3,3,3,3,4,3,3,3,4,3
37,197,14,3,3,3,3,3,3,3,3,3,3,4,3
38,199,14,3,3,3,3,3,3,4,3,3,4,3,3
39,199,14,3,3,3,3,3,3,4,3,3,3,3,3
40,195,14,3,3,3,3,3,3,4,3,3,3,4,3
41,219,15,5,5,5,5,5,5,5,5,5,5,5,5
42,214,15,5,5,5,5,5,5,5,5,5,5,5,4
43,217,15,5,5,5,5,5,5,5,5,5,5,5,4
44,205,15,4,4,4,4,4,4,5,5,4,5,4,4
45,200,15,4,3,4,4,5,3,4,5,4,4,3,4
46,207,15,4,3,5,4,5,5,4,5,4,4,3,3
47,209,15,5,4,4,4,4,5,5,3,4,4,4,4
48,208,15,4,3,5,5,4,4,4,4,3,4,4,3
49,203,15,5,3,4,4,4,4,4,3,4,4,4,4
50,204,15,4,3,4,4,4,3,4,4,4,5,5,4
51,208,15,4,4,5,3,3,4,5,4,4,5,5,5
52,210,15,4,3,4,4,3,4,4,4,3,5,5,4
53,192,15,3,3,3,3,3,4,4,3,3,5,4,3
54,191,15,3,3,3,3,3,3,4,3,3,5,3,3
55,196,15,3,3,4,3,3,4,4,3,3,4,4,3
56,200,15,3,3,3,3,3,3,4,3,3,5,5,4
57,199,15,3,3,3,3,3,3,4,3,3,4,5,3
58,196,15,3,3,3,3,3,3,3,3,3,4,4,4
59,194,15,3,3,3,3,3,3,3,3,3,3,4,4
60,193,15,3,3,3,3,3,3,4,3,3,3,3,3
61,209,16,5,5,5,5,5,5,,,,,,
62,217,16,5,5,5,5,5,5,,,,,,
63,221,16,5,5,5,5,5,5,,,,,,
64,200,16,4,4,4,4,4,5,,,,,,
65,214,16,4,3,5,4,5,4,,,,,,
66,207,16,5,3,5,4,4,3,,,,,,
67,209,16,4,3,5,5,5,5,,,,,,
68,202,16,5,4,4,4,5,3,,,,,,
69,201,16,5,4,4,4,5,5,,,,,,
70,208,16,3,4,4,4,3,4,,,,,,
71,205,16,4,4,4,5,4,4,,,,,,
72,207,16,4,4,4,3,4,3,,,,,,
73,204,16,3,3,4,3,3,4,,,,,,
74,191,16,3,3,4,3,3,3,,,,,,
75,193,16,3,3,3,3,3,4,,,,,,
76,191,16,3,3,3,3,3,3,,,,,,
77,194,16,3,3,3,3,3,3,,,,,,
78,199,16,3,3,3,3,3,3,,,,,,
79,195,16,3,3,3,3,3,3,,,,,,
80,196,16,3,3,3,3,3,3,,,,,,
81,241,17,5,5,5,,,,,,,,,
82,231,17,5,5,5,,,,,,,,,
83,215,17,5,5,5,,,,,,,,,
84,218,17,5,5,5,,,,,,,,,
85,207,17,5,3,4,,,,,,,,,
86,209,17,5,4,4,,,,,,,,,
87,204,17,5,3,5,,,,,,,,,
88,198,17,4,4,4,,,,,,,,,
89,195,17,4,4,4,,,,,,,,,
90,213,17,5,3,4,,,,,,,,,
91,202,17,3,4,5,,,,,,,,,
92,204,17,4,4,4,,,,,,,,,
93,191,17,3,3,4,,,,,,,,,
94,199,17,3,3,4,,,,,,,,,
95,195,17,3,3,3,,,,,,,,,
96,191,17,3,3,3,,,,,,,,,
97,191,17,3,3,3,,,,,,,,,
98,196,17,3,3,3,,,,,,,,,
99,196,17,3,3,3,,,,,,,,,
100,196,17,3,3,3,,,,,,,,,
